1   A393    精通CSS      Andy_Budd      978-7-115-15316-6      人民邮电出版社      0      39.000000
2   A383    大学物理      吴百诗      978-7-03-008940-3      科学出版社      0      32.000000
3   B312    MATLAB      胡晓冬      978-7-115-22907-6      人民邮电出版社      0      55.000000
4   C293    算法导论      Thomas      7-111-18777-6      机械工业出版社      0      85.000000
5   A125    数学建模      姜启源      978-2-04-011944-2      高等教育出版社      0      39.799999
6   D098    耶路撒冷      摩西      978-7-5607-3481-1      山东大学出版社      0      20.000000
7   A190    高等数学      同济      978-7-04-010821-7      高等教育出版社      0      29.700001
8   B235    离散数学      刘永才      7-80513-138-4      上海科学技术文献出版社      0      22.000000
9   C56    C++沉思录      Andrew      978-7-115-17178-8      人民邮电出版社      0      55.000000
10   A320    数据结构      严蔚敏      978-7-302-14751-0      清华大学出版社      0      30.000000
11   A908    叫魂      孔飞力      978-08-302-4511-0      上海三联书店      0      34.000000
12   C340    国富论      亚当斯密      978-34-302-141-01      人民教育出版社      0      100.099998
13   B219    历史的经验      南怀瑾      978-4-318-34251-2      人民出版社      0      29.299999
14   E129    孙子兵法      孙武      978-1-331-14751-3      人民文学出版社      0      21.000000
15   F128    名人传      罗曼罗兰      978-2-12-4-751-31      人民文学出版社      0      45.200001
16   D132    红楼梦      曹雪芹      978-12-3-1434-3-1      作家出版社      0      98.000000
17   D133    水浒传      施耐庵      978-12-3-1434-3-2      作家出版社      0      98.000000
18   D134    西游记      吴承恩      978-12-3-1434-3-3      作家出版社      0      98.000000
19   D135    三国演义      罗贯中      978-12-3-1434-3-4      作家出版社      1      98.000000
20   A471    吕氏春秋      吕不韦      978-324-14314-3-4      人民出版社      0      48.000000
21   A124    论语      孔子      979-123-1-28912-1      中华书局      0      21.000000
22   B90    唤醒心中的巨人      安东尼罗宾      979-123-1-212-12      人民出版社      0      32.000000
23   A12    漫漫自由路      曼德拉      978-1-2345-123-1      上海三联书店      0      31.000000
24   A210    网站优化      清华      978-7-114-1233-1      人民邮电出版社      0      32.000000
25   F222    学习PS      张文华      921-1-121-142131-2      机械工业出版社      0      43.000000
